Harley Benton,SC-DLX Gotoh Black B-Stock,£255
Fender,AV II 75 TELE DELUXE M B-Stock,"£1,666"
Guild,X-175 Manhattan Special,"£1,099"
Harley Benton,Fusion-III HSS Roasted B-Stock,£273
Schecter,Sun Valley Super Shred B-Stock,"£1,149"
Harley Benton,DC-DLX Gotoh Shell Pin B-Stock,£163
Fender,Vintera 60s Strat Mod  B-Stock,£819
Harley Benton,DC-LTD Gotoh Black B-Stock,£167
Harley Benton,SC-DLX Gotoh Shell Pin B-Stock,£196
Harley Benton,SC-DLX Gotoh Daphne Bl B-Stock,£220
Schecter,SunValley Super Shredd B-Stock,"£1,149"
G&L,Tribute Legacy Bl. Sat B-Stock,£491
Harley Benton,DC-DLX Gotoh Black B-Stock,£202
Fender,LTD Hybrid II Tele RW  B-Stock,"£1,099"
Harley Benton,Fusion-III HSS Roasted B-Stock,£264
Harley Benton,DC-LTD Gotoh Daphne Bl B-Stock,£163
Fender,Jim Root Telecaster Fl B-Stock,"£1,099"
Harley Benton,SC-450Plus VB Vintage  B-Stock,£131
Framus,Artist Line Devin Stor B-Stock,"£1,015"
Ibanez,RGT1221PB-DTF B-Stock,"£1,068"
Fender,Kurt Cobain Jaguar B-Stock,"£1,222"
Chapman Guitars,ML1 Modern Baritone Sl B-Stock,£625
Harley Benton,DC-60 Junior Pelham Bl B-Stock,£140
Fender,Player Plus Nashv. Tel B-Stock,£759
Höfner,HCT-VTH-R Verythin Contem.,£422
Schecter,Solo-II Blackjack BLK B-Stock,"£1,222"
Harley Benton,Amarok-6 BKBL Flame Bu B-Stock,£373
Harley Benton,Amarok-6 BKRD Quilted  B-Stock,£379
Kramer Guitars,Feral Cat Baretta Rain B-Stock,£535
Mooer,GTRS Guitars int. Prof B-Stock,£833
ESP,LTD GH-200 BLK Gary Ho B-Stock,£566
Harley Benton,CST-24TOL Tobacco Flame BStock,£222
Harley Benton,HB-35Plus LH Cherry B-Stock,£168
Fender,Player Plus Nashville  B-Stock,£799
Solar Guitars,S1.7AHLB Lime Burst Ma B-Stock,"£1,035"
Harley Benton,SC-Special Pelham Blue B-Stock,£175
Harley Benton,DC-Junior FAT Pelham B B-Stock,£202
DAngelico,Deluxe DC Satin Brown  B-Stock,"£1,285"
Harley Benton,DC-DLX Gotoh Daphne Bl B-Stock,£190
Chapman Guitars,ML3 Modern Slate Black B-Stock,£485
Harley Benton,Fusion-T HH HT Roasted B-Stock,£293
Epiphone,Les Paul Modern Graphi B-Stock,£439
DAngelico,Premier Mini DC Sky Bl B-Stock,£622
Fender,Player Series Tele MN  B-Stock,£555
Harley Benton,Fusion-III HSH EB FBLB B-Stock,£245
Solar Guitars,S1.6APB B-Stock,"£1,069"
Harley Benton,SC-Custom II Paradise  B-Stock,£190
Harley Benton,Fusion-III HSH EB FBB B-Stock,£222
Harley Benton,Fusion-III HH FR Roast B-Stock,£353
Harley Benton,SC-1000SBK Progressive B-Stock,£145
Chapman Guitars,ML1 Modern Slate Black B-Stock,£482
Harley Benton,Fusion-T HH Roasted SB B-Stock,£333
Fender,Player Plus Strat MN T B-Stock,£729
Harley Benton,SC-500 BK Vintage Seri B-Stock,£138
ESP,LTD EC-1000FM Amber Su B-Stock,£945
Squier,CV 70s Tele Thinlin B-Stock,£299
Chapman Guitars,ML1 Modern Deep Blue B-Stock,£489
Chapman Guitars,ML3 Modern Sage Green  B-Stock,£459
Schecter,PT Special BLKP B-Stock,£653
Harley Benton,SC-1000LH SBK Progr. B-Stock,£137
Fender,Hybrid II Stratocaster B-Stock,£979
Charvel,Pro-Mod DK22 SSS 2PT M B-Stock,£869
Harley Benton,Fusion-III HH HT Roast B-Stock,£366
Harley Benton,SC-Junior Pelham Blue B-Stock,£148
Squier,Tele 40th Anniv SM B-Stock,£369
Harley Benton,BigTone Trem White B-Stock,£246
Harley Benton,TE-53KR BL Tribute Ser B-Stock,£196
Harley Benton,Fusion-III HSH Roasted B-Stock,£273
Harley Benton,Fusion-T HH HT Roasted B-Stock,£369
Harley Benton,SC-Custom II Vintage B B-Stock,£220
DAngelico,Deluxe Bedford Solid Black,"£1,111"
Harley Benton,SC-Custom Plus EMG OCF B-Stock,£314
Charvel,Pro Mod So Cal Style1  B-Stock,£766
Harley Benton,SC-550LH II Gotoh PAF B-Stock,£242
Harley Benton,EX-76 Classic AN B-Stock,£216
Larry Carlton,S7 AWH 2nd Gen B-Stock,£431
Harley Benton,BM-75 Trans Red B-Stock,£220
Harley Benton,Fusion-T HH Roasted SW B-Stock,£344
Fender,JA-90 Jim Adkins CRT I B-Stock,£749
Harley Benton,CST-24T P90 Black Flam B-Stock,£199
Schecter,PT Van Nuys Gloss Natu B-Stock,£829
Epiphone,Billie Joe Armstrong L B-Stock,£282
Harley Benton,Fusion-T HH Roasted SP B-Stock,£228
Cort,G 300 Pro Vivid Burgun B-Stock,£468
Charvel,Pro-Mod DK22 SSS 2PT B B-Stock,£799
Epiphone,Les Paul Studio Wine R B-Stock,£341
ESP,LTD EC-1000QM STBC B-Stock,£888
Yamaha,Revstar RSS20 Hot Merl B-Stock,£589
Harley Benton,Fusion-III HSH LH Roas B-Stock,£295
Larry Carlton,L7 BK B-Stock,£409
Harley Benton,Guitar MAX Fusion Sign B-Stock,£379
Charvel,Pro-Mod So-Cal Style 1 B-Stock,£675
Harley Benton,Fusion-T HH HT LH EB B B-Stock,£219
Harley Benton,CST-24HB Tortoise Flam B-Stock,£228
Charvel,Pro-Mod San Dimas HSS  B-Stock,£659
Ibanez,AG95QA-DBS B-Stock,£568
Kramer Guitars,Striker Figured HSS Wi B-Stock,£275
Schecter,Signature Nick Johnsto B-Stock,£883
Harley Benton,SC-550 Plus EMG FTF B-Stock,£325
Harley Benton,SC-Custom II Active Vi B-Stock,£208
Harley Benton,ST-20HSS LH SBK B-Stock,£87
Charvel,Pro-Mod DK24 HH 2PT CM B-Stock,£759
Harley Benton,Fusion-III HSH EB FCB B-Stock,£225
Harley Benton,TE-90FLT Red Blast B-Stock,£135
Ibanez,FLATV1-BK Josh Smith,"£1,799"
Sterling by Music Man,Cutlass CT50HSS Daphne B-Stock,£622
Harley Benton,Fusion-T HH HT Roasted B-Stock,£228
