name,activities,overview,links,phone,email,location
Adaptive Sports Association,"Adaptive Snowboarding, Skiing, Sit Skiing, Cycling, Rifton Cycling, Flawwater Canoeing, Kayaking & Rafting","Adaptive Sports Association’s programs help to enrich and transform the lives of people with disabilities through sports and recreation. By working with participants to overcome physical and cognitive challenges in a supportive environment, ASA helps participants explore possibilities. Through sports and recreation, participants meet positive role models, increase socialization skills, improve physical fitness and combat depression. Personalities blossom and self-esteem soars as our students challenge themselves physically and emotionally and experience success.",http://asadurango.com/,970-403-6522,info@asadurango.com,"47 Skier Place, Durango, CO 81301"
Adaptive Sports Center of Crested Butte,"Skiing, Snowboarding, Nordic Skiing, Ice Climbing, Snowshoeing, Canoeing, Kayaking, Rafting, Cycling, Hike, Rock Climbing","The Adaptive Sports Center’s objective is to set the standard of excellence for adaptive recreation and adventure programming. Through providing year-round activities the ASC will focus on being the model in adaptive adventure recreation. By incorporating the latest therapeutic recreation practices, professional facilitation, and utilizing state-of-the-art equipment, we will provide programming that has a lasting impact on the quality of our participants' lives.",https://www.adaptivesports.org,970-349-2296,justin@adaptivesports.org,"Location:Winter Sports: 19 Emmons Road Mount Crested Butte, CO 81225Summer Sports: 325 Belleview Ave. Crested Butte, CO 81224"
Breckenridge Outdoor Education Center,"Adaptive Skiing, Adaptive Snowboarding, Nordic Skiing, Snowshoeing","THE MISSION OF BRECKENRIDGE OUTDOOR EDUCATION CENTER IS TO EXPAND THE POTENTIAL OF PEOPLE WITH DISABILITIES AND SPECIAL NEEDS THROUGH MEANINGFUL, EDUCATIONAL, AND INSPIRING OUTDOOR EXPERIENCES.",https://boec.org,970-453-5633,skiprog@boec.org,"655 S. Park Ave. Breckenridge, CO 80424"
Challenge Aspen ,"Rafting, Hiking, Fishing, Archery, Horseback Riding, Sailing, Bowling, Skiing, Snowboarding, Snow Tubing, Ice Skating, Dog Sledding","Challenge Aspen is dedicated to impacting lives through year-round adaptive experiences for individuals faced with cognitive and/or physical disabilities. Challenge Aspen creates life-changing opportunities by encouraging participation in activities designed to redefine limits, recognize abilities, and transfer newfound courage to everyday life.",https://challengeaspen.org,970-923-0578,info@adaptiveadventures.org,"Snowmass Village, CO 81615"
City of Colorado Springs Parks and Recreation﻿,"Boxing, Adaptive Cycling, Boccia, Archery, Adaptive Golf, Whitewater Rafting, Adaptive Kayaking, Paddleboarding",The Therapeutic Recreation Program (TRP) provides opportunities for youth and adults with disabilities to acquire skills that enable them to participate in leisure experiences of their choice and enhance their abilities to function within a community setting.,https://coloradosprings.gov/parks/page/therapeutic-recreation-program-trp,719-385-6964,Felicia.barnhart@coloradosprings.gov,"1315 East Pikes Peak Avenue Colorado Springs, CO 80909"
Colorado Discover Ability,Skiing & Cycling,"﻿We create year-round adaptive recreation experiences for people with disabilities We provide independent participation, unique experiences, and enriching opportunities for recreators, and volunteers alike. Our programs are like no other... because our PEOPLE are like no other.",https://www.coloradodiscoverability.org,970-257-1222,office@cdagj.org,"601 Struthers Ave. Grand Junction, CO 81502"
Community Saling of Colorado,Adaptive Sailing,"We're Community Sailing of Colorado, a nonprofit organization promoting fun, learning, and growth through the sport of sailing in Colorado. We focus on teaching new skills and empower our sailors to be an active participant. This is not going for a sailboat ride as you are at the helm. Our fleet can handle all types of sailors from first-timers to those looking for a new experience. Our dockside lift (at Cherry Creek Reservoir) can set you in the water with ease to ensure safe passage. We have our fleet of Access 303 Sailboats, and RS Venture Keel 18’s.",https://www.communitysailing.org,303-757-7718,admin@communitysailing.org,"4800 S Dayton St Greenwood Village, CO 80111"
National Sports Center for the Disabled,"Alpine Skiing, Snowboarding, Ski-Biking, Cross Country Skiing, River Rafting, Archery/Air Gun, Canoeing, Fishing, Kayaking, Rock Climbing, Sailing, Horseback Riding","The NSCD offers adaptive lessons for individuals and groups of people with disabilities in a variety of action sports, adventure sports, and competitive programs. Athletes with any physical, cognitive, emotional, or behavioral diagnosis can participate in sports and recreation programs year-round in Colorado’s Front Range and mountains. The NSCD’s recreational athletes build self-confidence and improve overall health in programs such as skiing, rock climbing, paddle sports, and therapeutic horseback riding. The NSCD’s competition program offers a way for independent athletes to compete at an elite level in international alpine and Nordic competitions and to thrive in the camaraderie of the NSCD team environment.",https://nscd.org,970-726-1518,info@nscd.org,"1801 Mile High Stadium Circle Denver, CO 80204"
STARS Steamboat Springs,"Alpine Skiing, Nordic Skiing, Snowboarding, Snowshoeing, Archery, Cycling, Hiking, Horseback Riding, Mountain Biking, Paddle Sports, Water Skiing","We believe that adaptive recreation can positively impact the lives of individuals with disabilities and their families.  STARS programs help individuals to discover the outdoors and teach skills to overcome health challenges as well as develop confidence, self-esteem, and independence. We use skiing, cycling, therapeutic horseback riding, kayaking, and other activities to empower people with disabilities. Through these activities, we help to reduce depression and isolation while helping to increase physical activity, self-sufficiency, and hope in our participants. We believe that through our programs that we help to strengthen families and communities and advance individuals to become productive and responsible citizens.",https://steamboatstars.com,970-870-1950,info@steamboatstars.com,"35465 US Hwy 40 Steamboat Springs, CO 80487"
Telluride Sports Program,"Skiing, Snowboarding, Snowshoeing, Nordic Skiing, Ice Climbing, Heli-Skiing, Fishing, Bikin, Bocce Ball, Horseback Riding, Canoeing, Rock Climbing, SUP Boarding, Hiking, Mountain Biking","During the winter, we accomplish our mission of empowerment and challenge mainly through our adaptive ski school, providing tailored and individualized lessons daily throughout the season.  In addition, specialty programs, such as a Special Olympics race team, backcountry hut trips, and military-oriented camps take place all winter long.  Our participants, whether a first-time stand-up skier, or a veteran trees and bumps mono-skier, benefit greatly from our professionally trained instructors who are able to properly assess the student, incorporate appropriate adaptive equipment, and provide instruction or guiding services. Summer finds TASP offering an even larger breadth of opportunities from off-road handcycle adventures set in the dramatic Moab desert, to rock climbing amongst the snowcapped peaks of Telluride.  Just as with winter programming, TASP proudly provides scholarship opportunities to those in financial need and supports local communities by providing regional-specific programming and opportunities.  As a further commitment to the community and our mission of inspiring, TASP conducts disability awareness training for local school-aged youth in order to promote awareness and educate the next generation about the limitless potentials of adaptive recreation.",https://tellurideadaptivesports.org,970-728-5010,tasp@tellurideadaptivesports.org,"Telluride, CO"
