name,activities,overview,links,phone,email,location
Ballet-beyond-barriers,Ballet,"Adaptive Dance Program is an inclusion program designed for children of all abilities and needs. It is ideal for both girls and boys who are interested in exploring a new way of movement through dance and will focus on rhythm, musicality, and gross motor skills while pushing the barriers of the child’s everyday capabilities.",https://www.balletroyalemn.org/ballet-beyond-barriers,952-898-3163,Email: info@balletroyalemn.org,"16368 Kenrick Avenue Lakeville, MN, 55044 United States"
Brainerd Lake FHNB,"Adaptive yoga, Alpine Skiing, Alpine Snowboarding, Archery, Curling, Cycling, Dog sledding, Fishing tournament, Kayaking, Martial arts, Power Soccer, Rock Climbing, Sailing, Swimming, Scuba","This organization is dedicated to meeting the changing needs of children and adults with disabilities, with an emphasis on advocacy, adaptive sports, and recreation, camping, as well as rehabilitation.",https://account.allinahealth.org/servicelines/815#classesEvents,Phone:1-888-425-5462,Email: info@brainerdlakesfhnb.org,Varying locations in MN.
Courage Kenny Rehabilitation,"Adaptive yoga, Alpine Skiing, Alpine Snowboarding, Archery, Curling, Cycling, Dog sledding, Fishing tournament, Kayaking, Martial arts, Power Soccer, Rock Climbing, Sailing, Swimming, Scuba","This organization is dedicated to meeting the changing needs of children and adults with disabilities, with an emphasis on advocacy, adaptive sports, and recreation, camping, as well as rehabilitation.",https://account.allinahealth.org/servicelines/815#classesEvents,Phone:1-888-425-5462,,Varying locations in MN.
MAAA Minnesota Adapted Athletics Association,"Bowling, Hockey, Soccer, Softball",Interscholastic sports are the most competitive of all sports programs at the high school level and are the only sports sanctioned by the Minnesota State High School League (MSHSL).,https://sites.google.com/view/minnesota-adapted-athletics,,Email: marcus@robinsathletics.com,Minnesota state high school
MPHL Minnesota Power Hockey League,Power Wheelchair Hockey,The sport of Power Hockey is specifically designed for persons who require the use of a power wheelchair in daily life.,http://powerhockey.com/minnesota/,612-568-7216,Email: info@powerhockey.com,"7216 39th Ave. No. Minneapolis, MN 55427"
Padraig’s Place,"Skiing, Snowboarding","Padraig’s Place, a local non-profit organization, has come together with the ski and snowboard schools at Buck Hill Ski and Wild Mountain to provide a fun experience for skiers and snowboarders with physical and/or cognitive disabilities.",https://www.padraigsplace.org/,612-889-7001,,"15400 Buck Hill Road Burnsville, MN 55306"
Ski for Light Inc.,Skiing,"Ski for Light, Inc. is an all-volunteer, non-profit, organization founded in 1975. The mission of Ski for Light is to teach visually- and mobility-impaired adults the sport of classic cross-country skiing, to give participants who have already mastered the basics the chance to improve their skills and endurance, and to enable participants to just have fun on the snow.",https://www.sfl.org/,612-827-3232,,"1455 West Lake Street, Minneapolis, MN 55408"
United Foundation for Disabled Archers ,Archery,"The United Foundation For Disabled Archers (UFFDA)has been in existence since the fall of 1994. It was incorporated in the spring of 1997 and received its non-profit status from the IRS in November 1997. It currently has over 1400 members throughout the United States, with more folks joining every week. During the last weekend of September (since 1995) UFFDA hosts a 4-day Whitetail hunt in Northern Minnesota for 30 of its disabled members. It hosts a second event the following weekend in Central Wisconsin (since 1999) for another 30 members.",http://www.uffdaclub.com/,320-634-3660,info@uffdaclub.com,"P.O. Box 251, 20 NE 9th Ave. Glenwood, MN 56334"
USA Wheelchair Hockey Association,E-mail: hockey@usewha.org,Our Mission is to provide a quality hockey program for persons requiring the use of an electric (power) wheelchair in daily life. PowerHockey™ is based on basic hockey rules with a few adaptations to allow everyone in a power wheelchair the ability to participate.,http://www.usewha.org/,763-535-4736,,"7216 39th Ave. North Minneapolis, MN  55427"
Wayzata Sailing,Fax: 612-676-9401,"Wilderness Inquiry (WI) has a rich history involving many people as well as the convergence of multiple social issues. Since the mid 70’s we have been in the forefront of providing equitable access to the outdoors for people from all walks of life. This passion was born from a deep concern for the environment and a desire to share it with people who did not traditionally get outdoors. As a 501c3 non-profit organization, we are committed to making the outdoors accessible to all. When you travel with Wilderness Inquiry, you help fund outdoor education programs for youth, provide trip assistance for participants with differing abilities, and travel scholarships to bring families to the outdoors together.",https://www.wildernessinquiry.org/,612-676-9400,info@wildernessinquiry.org,"Office 325 Randolph Ave, St. Paul, MN 55102"
Wilderness Inquiry,Fax: 612-676-9401,"Wilderness Inquiry (WI) has a rich history involving many people as well as the convergence of multiple social issues. Since the mid 70’s we have been in the forefront of providing equitable access to the outdoors for people from all walks of life. This passion was born from a deep concern for the environment and a desire to share it with people who did not traditionally get outdoors. As a 501c3 non-profit organization, we are committed to making the outdoors accessible to all. When you travel with Wilderness Inquiry, you help fund outdoor education programs for youth, provide trip assistance for participants with differing abilities, and travel scholarships to bring families to the outdoors together.",https://www.wildernessinquiry.org/,612-676-9400,info@wildernessinquiry.org,"Office 325 Randolph Ave, St. Paul, MN 55102"
Young Dance,"Mailing Address: 655 Fairview Ave. N. St. Paul, MN 55104","Young Dance is an inclusive, artistic community where creativity flourishes and all are encouraged to aspire to artistic professionalism.",http://youngdance.org/,612-423-3064,info@youngdance.org,
