name,activities,overview,links,phone,email,location
Achilles Team 1000,Road Racing-Wheelchair Running,"Achilles International, a global organization operating in 25 countries including the US, transforms the lives of people with disabilities through athletic programs and social connections. Since our founding in 1983, we have empowered over 150,000 athletes of all ages and ability levels to participate in endurance events around the globe. While our programs focus on running, our main objective has always been to bring hope, inspiration, and the joys of achievement to all.",https://www.achillesinternational.org/,212-354-0300,info@achillesinternational.org,"315 West 39th Street, New York, NY 10018"
Adaptive Sports Foundation ,"Alpine skiing, snowboarding, core training","Since 1984, the Adaptive Sports Foundation has been providing sports and recreation opportunities to thousands of children and adults with both cognitive and physical disabilities. Considered one of the top adaptive sports programs in the country, the ASF has been on the cutting edge of adaptive sports programming and has provided what participants have often described as “life-changing experiences.”",https://www.adaptivesportsfoundation.org/,518-734-5070,info@adaptivesportsfoundation.org,"100 Silverman Way Windham, NY 12496"
American Special Hockey Association ,Sled hockey,"We have grown to support over 100 established Special Hockey Clubs throughout the United States and are supporting the growth of over a dozen new organizations.   We partner with a number of clubs in Canada in friendship. As awareness increases about special hockey, so will opportunities for more people to become involved and active helping grows access to the sport they love. Each day, our players and families bravely rise to meet their challenges with determination and achieve their goals.  Our athletes overcome the obstacles of developmental disabilities and physical disabilities that would have otherwise prevented them from being involved with a team.  Our youngest players first step on the ice at five, and there is no age limit to participate. We offer different levels of play, so players of all abilities can participate safely and comfortably.  Together players of all abilities create memories that will last a lifetime. We proudly serve a diverse group of athletes, coaches, peer mentors, families, and friends through specialized supports, training, and encouragement. Our goal is to build relationships between our organizations that support inclusion of special hockey into local hockey communities.  We are here to provide you with resources, supports, and assistance!  You can help us by getting involved, telling our stories, and helping us welcome new players and families to our sport. We will work closely with you to ensure that any initiative or program is exactly as you wish it to be.",https://www.usahockey.com/sledhockey,607-765-4529,usah@usahockey.org,"Johnson City, NY 13790"
Burke Rehabilitation Hospital,"Hand cycling, adaptive yoga, water skiing, alpine skiing, golf, wheelchair table tennis","Burke Rehabilitation Hospital encourages people of all abilities to take part in physical activities such as sports and exercise. Through our Therapeutic Recreation department, Burke offers several adaptive sports and fitness programs. These sports can be played by people with a disability, including physical and intellectual disabilities. Many of these sports and fitness programs are based on existing sports and simply modified to meet the special needs of those with a disability. Adaptive sports such as the First Swing Golf Clinic foster a sense of inclusion to many who otherwise would not participate in the sport. For people interested in learning more about taking part in adaptive sports, Burke hosts a number of seminars throughout the year to learn more. These can include explanations on what adaptive sports are, where they are available, how people can take part, and the benefits of staying active through sports.",https://www.burke.org/community/adaptiveprograms,914-597-2248,TR@burke.org,"785 Mamaroneck Avenue White Plains, New York 10605"
"Cape Ability Outrigger Ohana, Inc.","Para-kayaking, outrigger canoeing","Cape Ability Outrigger Ohana, Inc. (CAOO) provides paddling opportunities to individuals of all abilities. CAOO focuses on providing inclusive outrigger canoeing programs to people living in Western New York (Greater Rochester and Greater Buffalo areas).  The outrigger canoes used for CAOO group programming are DC-8s (Double-Canoe that seats 8 people) and are very stable, making it ideal for introducing people to the water and safe for individuals who have a physical, intellectual, or emotional challenge. A trained steers-person always guides the boat and ensures a safe and fun experience for the paddlers.",http://www.adaptivecanoeing.org/,585-292-6107,janwhitaker@twc.com,"560 Shore Drive West Henrietta, New York 14586"
Capital Region Nordic Alliance ,"Cross-country skiing, snowshoeing, biathlon, orienteering","Capital Region Nordic Alliance Inc. (CRNA) is a recognized 501c3 Charitable not-for-profit outdoor recreation alliance,  focusing on year-round activities in the Nordic Sports of Biathlon, Orienteering, Snowshoeing, Cross-Country Skiing and Paralympic Nordic to the entire community, with particular attention to those individuals with special needs or disabilities.",https://www.capitalregionnordicalliance.org/crna-safesport-community-initiative.html,,crnasocialmedia@gmail.com,Eastern NY
Central Association for the Blind and Visually Impaired ,"Bowling, ice hockey, running, cycling, adaptive curling, yoga","A key component of our comprehensive vision rehabilitation program is Adaptive Sports and Recreation (ASR). Through the engagement of sports and a variety of recreational activities, people who are blind or visually impaired improve their health and the quality of their lives. They achieve greater independence and more importantly, self-confidence.",https://www.cabvi.org/,315-797-2233,Michaelm@cabvi.org,"507 Kent St., Utica NY 13501"
City of New York Parks and Recreation ,"Wheelchair basketball, swimming","NYC Parks offers adaptive fitness, sports, and arts programs at our parks and recreation centers for all abilities. While many of our events are accessible, these events are geared specifically towards people with physical disabilities. Find an event or program that fits your needs. Adaptive Hubs are fully accessible recreation centers that offer adaptive programs.",https://www.nycgovparks.org/contact-parks,646-632-7344,,"NY, NY"
Gallop NYC,Equestrian,"Gallop NYC offers horseback riding and therapeutic horsemanship programs for people with disabilities. These lovely, patient animals are the key to GallopNYC’s uniquely effective equine therapy program. We hold ourselves to the highest standards of horse care, and have won awards and grants for our work with horses. GallopNYC’s talented and passionate employees are motivated by the sense of purpose that comes with our mission and programs.  Many of our staff first started their career at GallopNYC as a volunteer.",http://gallopnyc.org/,646-233-4507,info@GallopNYC.org,"88-03 70th Road Forest Hills, NY 11375"
Greater Buffalo Adaptive Sports ,"Downhill skiing, curling, cycling, kayaking, wheelchair lacrosse, sled hockey","Greater Buffalo Adaptive Sports provides opportunities for individuals with disabilities to participate in adaptive sports and, through this participation, develop the social, emotional and physical confidence necessary to become leaders in the community. It's essential that all athletes have access to equipment, programs, and facilities regardless of their disability. Amazing things can happen when people are inspired. Our athletes continually blaze new trails for future generations to discover sled hockey. With teamwork, anything is possible. The stories that bring athletes to the sport of sled hockey are the same stories that form the bonds to build champions.",www.gbasports.org/,,info@sledhockeyfoundation.org,"Hamburg, NY"
